ANO_AcceCar,EDAD_AcceCar,MUNICIPIO_HECHO_AcceCar,ZONA_AcceCar
2019,5,PUERTO TEJADA,URBANA
2019,6,SANTANDER DE QUILICHAO,RURAL
2019,6,SANTANDER DE QUILICHAO,URBANA
2019,7,PUERTO TEJADA,URBANA
2019,8,SANTANDER DE QUILICHAO,URBANA
2019,9,SANTANDER DE QUILICHAO,RURAL
2019,9,SANTANDER DE QUILICHAO,URBANA
2019,10,PUERTO TEJADA,URBANA
2019,10,SANTANDER DE QUILICHAO,RURAL
2019,10,SANTANDER DE QUILICHAO,URBANA
2019,11,PUERTO TEJADA,URBANA
2019,11,SANTANDER DE QUILICHAO,URBANA
2019,12,PUERTO TEJADA,URBANA
2019,12,SANTANDER DE QUILICHAO,URBANA
2019,13,GUACHENÉ,URBANA
2019,13,PUERTO TEJADA,URBANA
2019,13,SANTANDER DE QUILICHAO,RURAL
2019,13,SANTANDER DE QUILICHAO,URBANA
2019,14,PUERTO TEJADA,URBANA
2019,14,SANTANDER DE QUILICHAO,URBANA
2019,18,PUERTO TEJADA,URBANA
2019,18,SANTANDER DE QUILICHAO,URBANA
2020,1,PUERTO TEJADA,URBANA
2020,3,SANTANDER DE QUILICHAO,URBANA
2020,4,PUERTO TEJADA,URBANA
2020,8,SANTANDER DE QUILICHAO,RURAL
2020,11,GUACHENÉ,URBANA
2020,12,PUERTO TEJADA,URBANA
2020,12,SANTANDER DE QUILICHAO,RURAL
2020,12,SANTANDER DE QUILICHAO,URBANA
2020,13,GUACHENÉ,URBANA
2020,13,PUERTO TEJADA,URBANA
2020,13,SANTANDER DE QUILICHAO,RURAL
2020,13,SANTANDER DE QUILICHAO,URBANA
2020,14,PUERTO TEJADA,URBANA
2020,14,SANTANDER DE QUILICHAO,RURAL
2020,15,SANTANDER DE QUILICHAO,URBANA
2020,26,PUERTO TEJADA,URBANA
2020,27,PUERTO TEJADA,URBANA
2020,28,PUERTO TEJADA,URBANA
2021,,GUACHENÉ,RURAL
2021,,SANTANDER DE QUILICHAO,URBANA
2021,3,PUERTO TEJADA,URBANA
2021,3,SANTANDER DE QUILICHAO,URBANA
2021,7,SANTANDER DE QUILICHAO,RURAL
2021,8,PUERTO TEJADA,URBANA
2021,10,GUACHENÉ,RURAL
2021,10,GUACHENÉ,URBANA
2021,10,SANTANDER DE QUILICHAO,RURAL
2021,10,SANTANDER DE QUILICHAO,URBANA
2021,11,PUERTO TEJADA,URBANA
2021,12,SANTANDER DE QUILICHAO,RURAL
2021,12,SANTANDER DE QUILICHAO,URBANA
2021,13,GUACHENÉ,URBANA
2021,13,PUERTO TEJADA,URBANA
2021,13,SANTANDER DE QUILICHAO,RURAL
2021,14,GUACHENÉ,RURAL
2021,15,SANTANDER DE QUILICHAO,URBANA
2021,16,PUERTO TEJADA,RURAL
2022,6,GUACHENÉ,RURAL
2022,9,SANTANDER DE QUILICHAO,RURAL
2022,10,SANTANDER DE QUILICHAO,URBANA
2022,11,PUERTO TEJADA,RURAL
2022,11,PUERTO TEJADA,URBANA
2022,11,SANTANDER DE QUILICHAO,URBANA
2022,12,GUACHENÉ,URBANA
2022,12,PUERTO TEJADA,URBANA
2022,13,PUERTO TEJADA,URBANA
2022,13,SANTANDER DE QUILICHAO,RURAL
2022,13,SANTANDER DE QUILICHAO,URBANA
2022,14,SANTANDER DE QUILICHAO,URBANA
