"MUNICIPIO_Homi1922_HECHO","AÑO_Homi1922","ZONA_Homi1922","CANTIDAD"
"PUERTO TEJADA",2022,"URBANA","32"
"PUERTO TEJADA",2021,"URBANA","42"
"GUACHENÉ",2021,"URBANA","4"
"SANTANDER DE QUILICHAO",2020,"URBANA","43"
"PUERTO TEJADA",2020,"RURAL","10"
"SANTANDER DE QUILICHAO",2022,"RURAL","110"
"SANTANDER DE QUILICHAO",2020,"RURAL","33"
"PUERTO TEJADA",2021,"RURAL","8"
"GUACHENÉ",2020,"RURAL","16"
"SANTANDER DE QUILICHAO",2021,"RURAL","61"
"PUERTO TEJADA",2022,"RURAL","20"
"GUACHENÉ",2022,"URBANA","8"
"GUACHENÉ",2021,"RURAL","11"
"SANTANDER DE QUILICHAO",2022,"URBANA","35"
"PUERTO TEJADA",2020,"URBANA","27"
"GUACHENÉ",2022,"RURAL","12"
"SANTANDER DE QUILICHAO",2021,"URBANA","29"
