"MUNICIPIO_HECHO_Hurto","AÑO_Hurto","ZONA_Hurto","total_hurtos"
"GUACHENÉ",2020,"RURAL","87"
"GUACHENÉ",2020,"URBANA","26"
"GUACHENÉ",2021,"RURAL","156"
"GUACHENÉ",2021,"URBANA","24"
"GUACHENÉ",2022,"RURAL","156"
"GUACHENÉ",2022,"URBANA","55"
"PUERTO TEJADA",2020,"RURAL","178"
"PUERTO TEJADA",2020,"URBANA","319"
"PUERTO TEJADA",2021,"RURAL","286"
"PUERTO TEJADA",2021,"URBANA","368"
"PUERTO TEJADA",2022,"RURAL","302"
"PUERTO TEJADA",2022,"URBANA","384"
"SANTANDER DE QUILICHAO",2020,"RURAL","304"
"SANTANDER DE QUILICHAO",2020,"URBANA","632"
"SANTANDER DE QUILICHAO",2021,"RURAL","331"
"SANTANDER DE QUILICHAO",2021,"URBANA","650"
"SANTANDER DE QUILICHAO",2022,"RURAL","301"
"SANTANDER DE QUILICHAO",2022,"URBANA","711"
