Ano,Municipio,Numero_Victimas
2015,Guachené,184
2015,Puerto Tejada,598
2015,Santander de Quilichao,9925
2016,Guachené,201
2016,Puerto Tejada,67
2016,Santander de Quilichao,10634
2017,Guachené,208
2017,Puerto Tejada,735
2017,Santander de Quilichao,11107
2018,Guachené,222
2018,Puerto Tejada,78
2018,Santander de Quilichao,11359
2019,Guachené,227
2019,Puerto Tejada,804
2019,Santander de Quilichao,11549
2020,Guachené,232
2020,Puerto Tejada,846
2020,Santander de Quilichao,11673
2021,Guachené,237
2021,Puerto Tejada,886
2021,Santander de Quilichao,11968
2022,Guachené,246
2022,Puerto Tejada,92
2022,Santander de Quilichao,12355
